"hybrid","mean_EASP","sd_EASP","var_EASP","mean_GY","sd_GY"
"H1-5",4,1.4142135623731,2,5563.5,1035.51098497312
"H1-6",5,0.816496580927726,0.666666666666667,5008.25,1358.01383768109
"H1-7",3.5,1,1,5544,1548.67491746977
"H1-8",3.25,0.5,0.25,6620.25,689.665317382279
"H10-13",3.5,0.577350269189626,0.333333333333333,5687.75,1204.23596109733
"H10-14",4.25,1.25830573921179,1.58333333333333,4493.5,1748.93977407266
"H10-15",3.25,0.5,0.25,7650.5,767.036070425201
"H10-16",3.75,0.5,0.25,5766,566.239054346013
"H11-13",4,0.816496580927726,0.666666666666667,4954,1133.15165210428
"H11-14",4.75,0.957427107756338,0.916666666666667,5400.25,1162.74685551069
"H11-15",4,0.816496580927726,0.666666666666667,4700.25,999.978124760737
"H11-16",4.25,0.957427107756338,0.916666666666667,5444.75,936.249744103214
"H12-13",3.75,0.5,0.25,5809.25,327.265819581982
"H12-14",3.5,0.577350269189626,0.333333333333333,5398.5,1712.03475432013
"H12-15",3,0.816496580927726,0.666666666666667,5818.5,699.86212927976
"H12-16",6.25,0.5,0.25,2750.5,1798.01492392768
"H13-1",4.75,0.5,0.25,5222.5,916.59387589779
"H13-2",4,0.816496580927726,0.666666666666667,5211.5,760.952254305967
"H13-3",3.5,0.577350269189626,0.333333333333333,6454.25,1079.04197477824
"H13-4",4,1.15470053837925,1.33333333333333,5633.25,752.575743696274
"H14-1",4,0.816496580927726,0.666666666666667,4500.25,1722.03549614983
"H14-2",3.5,1.29099444873581,1.66666666666667,5387,527.02182118011
"H14-3",4.5,0.577350269189626,0.333333333333333,4461.75,500.068911917814
"H14-4",4,0,0,4741,495.219143410268
"H15-1",4.75,0.957427107756338,0.916666666666667,4689.25,1287.82280742862
"H15-2",4.5,0.577350269189626,0.333333333333333,5190.5,832.045471513827
"H15-3",3.75,0.957427107756338,0.916666666666667,5389.75,911.84588427358
"H15-4",4.5,0.577350269189626,0.333333333333333,4994.75,599.88575301191
"H16-1",4.5,1.29099444873581,1.66666666666667,4354,869.37947219075
"H16-2",3,0.816496580927726,0.666666666666667,5755,862.75257171451
"H16-3",4,0.816496580927726,0.666666666666667,5945.25,895.336203147548
"H16-4",3,0,0,5261.5,1677.61825216585
"H2-5",4.5,1,1,4788.5,1431.34121252295
"H2-6",4,0.816496580927726,0.666666666666667,5715.25,1001.49101343946
"H2-7",4,0.816496580927726,0.666666666666667,4698,1419.31838100782
"H2-8",3.25,0.5,0.25,5799.75,784.663144285495
"H3-5",5,0.816496580927726,0.666666666666667,5083.25,2763.67706446804
"H3-6",4.5,1.29099444873581,1.66666666666667,5530.25,1695.42057220817
"H3-7",4.25,1.25830573921179,1.58333333333333,4251.75,910.404809228657
"H3-8",3.25,0.5,0.25,6500.75,570.26448542175
"H4-5",4,0.816496580927726,0.666666666666667,4215.25,752.917160117898
"H4-6",4.5,1,1,4349,1331.66887776204
"H4-7",3.5,0.577350269189626,0.333333333333333,5356.5,463.960846049175
"H4-8",2.75,0.957427107756338,0.916666666666667,7078.5,1868.95273705178
"H5-10",2.5,1.29099444873581,1.66666666666667,5444.5,1457.50414521995
"H5-11",4.25,1.25830573921179,1.58333333333333,5074.25,718.657254885804
"H5-12",3,0.816496580927726,0.666666666666667,4976,1671.42593813386
"H5-9",3.25,1.5,2.25,7116.25,1430.30331864725
"H6-10",3.75,0.5,0.25,5195,659.141360660468
"H6-11",4.75,0.957427107756338,0.916666666666667,4521.75,1306.41886468315
"H6-12",3.75,0.957427107756338,0.916666666666667,4642.25,1456.60000800952
"H6-9",4.25,1.5,2.25,4924.5,848.712161650423
"H7-10",2.75,0.5,0.25,4574,1327.27013075711
"H7-11",3.5,0.577350269189626,0.333333333333333,4851.5,1415.84097506276
"H7-12",4.25,0.5,0.25,5708.25,1002.87100366897
"H7-9",3.5,0.577350269189626,0.333333333333333,5311.25,608.424947439425
"H8-10",3.75,0.957427107756338,0.916666666666667,5764.25,415.793518468001
"H8-11",4.25,0.5,0.25,3689.5,1003.77769783288
"H8-12",3.25,0.957427107756338,0.916666666666667,4809.75,1655.15767124062
"H8-9",3.5,0.577350269189626,0.333333333333333,5461,681.036954454994
"H9-13",4.75,0.5,0.25,4899,1355.52572826929
"H9-14",4,0,0,5416.75,787.237945816469
"H9-15",4.25,0.5,0.25,5391.25,1499.82207278063
"H9-16",4.25,0.5,0.25,5330,1227.61611806514
